DATE,POILDUBUSDM
2017-06-01,46.3368181818182
2017-07-01,47.6314285714286
2017-08-01,50.4265217391304
2017-09-01,53.8619047619048
2017-10-01,55.5840909090909
2017-11-01,60.5827272727273
2017-12-01,61.4519047619048
2018-01-01,65.9178260869565
2018-02-01,62.742
2018-03-01,63.2872727272727
2018-04-01,68.4290476190476
2018-05-01,73.4826086956522
2018-06-01,73.2685714285714
2018-07-01,72.7236363636364
2018-08-01,72.0582608695652
2018-09-01,77.0195
2018-10-01,78.9565217391304
2018-11-01,65.3986363636364
2018-12-01,56.2757142857143
2019-01-01,58.6734782608696
2019-02-01,64.186
2019-03-01,66.8047619047619
2019-04-01,70.6422727272727
2019-05-01,69.3708695652174
2019-06-01,61.214
2019-07-01,62.9069565217391
2019-08-01,58.6995454545455
2019-09-01,60.8414285714286
2019-10-01,58.5365217391304
2019-11-01,61.4076190476191
2019-12-01,64.4772727272727
2020-01-01,63.7321739130435
2020-02-01,54.5125
2020-03-01,33.75
2020-04-01,23.3768181818182
2020-05-01,31.232380952381
2020-06-01,40.1386363636364
2020-07-01,42.6413043478261
2020-08-01,43.7052380952381
2020-09-01,41.1031818181818
2020-10-01,39.7040909090909
2020-11-01,42.577619047619
2020-12-01,49.3165217391304
2021-01-01,53.9685714285714
2021-02-01,60.366
2021-03-01,63.9456521739131
2021-04-01,62.3181818181818
2021-05-01,66.01
2021-06-01,70.9595454545454
2021-07-01,72.8822727272727
2021-08-01,68.9086363636363
2021-09-01,72.2372727272727
2021-10-01,81.2166666666667
2021-11-01,79.7981818181818
